,IMDb-rating,appropriate_for,director,downloads,id,industry,language,posted_date,release_date,run_time,storyline,title,views,writer
14253,7.1,R,Elegance Bratton,472,371991,Hollywood / English,English,"17 Feb, 2023",Dec 02 2022,95,"A
 young, gay Black man, rejected by his mother and with few options for 
his future, decides to join the Marines, doing whatever it takes to 
succeed in a system that would cast him aside.",The Inspection,"5,962",Elegance Bratton
14254,4.8,R,John Swab,417,372092,Hollywood / English,English,"20 Feb, 2023",Jan 28 2023,105,"Doc
 facilitates a fragile truce between the Governor and Cartel, trading 
prosecutorial leniency for finance. With no more truce, Doc is left to 
fend for himself and protect the one untainted thing in his life: his 
daughter, Little Dixie.",Little Dixie,"4,061",John Swab
14255,8.8,,Xavier Manrique,75,371744,Hollywood / English,English,"13 Feb, 2023",Feb 03 2023,101,"Follows
 a New York City family hiding out in the Hamptons whose bubble is 
popped when a Bloody Mary-swilling, pot-smoking 'Charlie' comes to bring
 a lifetime of hurt that might heal them all.",Who Invited Charlie?,"2,008",Nicholas Schutt
14256,4.5,Not Rated,"Jennifer Finnigan, Jonathan Silverman","19,897",111513,Hollywood / English,English,"13 Nov, 2014",Jan 01 1970,97,"A Bet's A Bet tells the story of Vince, New England's most successful divorce attorney. To Vince, life is one big competition, and losing is unacceptable. This also applies in his dating life with his love 'em and leave 'em approach. Then Vince meets Jane, who is beautiful, successful and also extremely driven. Together they enter into a series of entertaining wagers with each other where the winner gets to decide the fate of the loser. After all, ""A Bet's a Bet!""",The Opposite Sex,"84,642","Mark Mussina, Steven Sessions"
14257,5.3,PG-13,Ryan Little,"4,909",111510,Hollywood / English,English,"13 Nov, 2014",Aug 15 2014,94,"The German war machine is in retreat. Two American M 18 tank destroyers 
are sent to root out a die hard group of Nazis holed up in the Harz 
Mountains.",Saints and Soldiers: The Void,"21,508",Ryan Little
14258,3.6,,John Lyde,"7,856",111509,Hollywood / English,English,"13 Nov, 2014",Oct 07 2014,91 min,"When Kyle Matthews, an elite Sniper from the World Defense Force, is trapped in enemy territory - his skills are put to the test as he attempts to survive against a whole armada of Cerulean soldiers, Hell bent on wiping all humans from existence. But when a beautiful Cerulean woman is shot and left for dead by her own kind, Kyle must chose between his own life and the life of one of the very beings he is out to kill.",One Shot,"24,965",Adam Abram
14259,5.5,,Derrick Sims,"1,254",111508,Hollywood / English,English,"13 Nov, 2014",Oct 21 2012,1h 20min,"Arkansas, November 1973 - Frank (Michael Ray Davis) and his grandson, D (Thor Wahlestedt) go on an afternoon hunt. Just before dusk, the two hunters wander into the darkening woods to track down their recent kill and, to their horror, find that instead of a deer, they've shot their trespassing neighbor, Marion Mitchell (Thomas Moore). With a history of land disputes with the Mitchells fresh on Frank's mind, he assures the boy that the only option is to hide the body deep in the woods. As the night draws on, they find themselves only deeper in darkness, and the lines between good and evil are no longer clear. Soon they begin to question if everything will really be okay, Come Morning.",Come Morning,"9,672",Derrick Sims
14260,2.2,,,"6,273",111507,Hollywood / English,English,"13 Nov, 2014",Nov 11 2014,90 min,,Ardennes Fury,"22,633",
14261,6.3,,Tanveer Khan,"11,535",111506,Bollywood / Indian,Hindi,"13 Nov, 2014",Nov 10 2006,102,"Dr. Viren Goenka lives a very wealthy lifestyle in Bombay, along with his wife, Sanjana, and asthma-ridden daughter, Anishka. He has recently been declared 4 of 11 best Cardio surgeons in the world, and is to be felicitated in Delhi, just a few days before Anishka's birthday. In Delhi he is lodged in a five-star hotel, and after the award presentation he is approached by woman, who forces herself in his room, takes out a gun, and informs him that his daughter has been kidnapped, while another kidnapper is holding his wife hostage. Viren is soon told via the woman's cell phone that the kidnappers demand is one Crore rupees, which Viren arranges to pay. As soon as he arranges for the money, he is told since necessary medicines had to be provided for his ailing daughter, the demand is now two Crore rupees. A frantic Viran also arranges for this additional amount, but barely an hour later, he is told that the ransom demand is now three Crore rupees. Viren does arrange for the money, after...",Deadline: Sirf 24 Ghante,"35,328","Tanveer Khan, Dilip Shukla"
14262,5.1,,Singeetham Srinivasa Rao,"3,079",111504,Bollywood / Indian,Hindi,"13 Nov, 2014",Jan 01 1970,,"Farmers Dharamraaj and Balram Choudhary are two friends who live in Ram Nagar in scenic Ooty. While Dharamraaj is widowed and lives with his mom and son, Raju, Balram lives with his wife, Savitri and a daughter, Guddi. Both Guddi and Raju share the same day of birth, though Raju is two years older. Dharamraaj and Balram arrange their marriage so as to cement their friendship even , much to everyone's delight. This event is blessed by Mouni Baba from the local Shiv Mandir, whose predictions have never been proved to be wrong. Dharamraaj then re-locates to Bombay as he wants to be a businessman, while Balram wants to continue farming. Raju is sent to a hostel, and then subsequently to America for further studies. Years later, Balram goes to Dharamraaj to confirm Raju and Guddi's marriage, but Dharamraaj informs him that the marriage cannot take place. Balram returns home and relays this news to his wife, who has a stroke, becomes mentally unstable and subsequently passes away. Guddi...",Phool,"11,709",
